feature,coefficient,abs_coefficient
account_emptied,5.4940961830920925,5.4940961830920925
type_TRANSFER,3.1551240459452283,3.1551240459452283
type_PAYMENT,-2.843447251691857,2.843447251691857
amount_to_oldbalance_ratio,-2.710863661814639,2.710863661814639
type_CASH_OUT,1.663005909354281,1.663005909354281
dest_was_empty,1.5439535680837746,1.5439535680837746
hour_of_day,-0.28419749041756653,0.28419749041756653
has_balance_error,-0.1581447180492337,0.1581447180492337
type_DEBIT,-0.0494842080955077,0.0494842080955077
type_CASH_IN,-0.039078162229227054,0.039078162229227054
step,-0.023426524671263924,0.023426524671263924
day_of_month,0.010866052162758384,0.010866052162758384
error_balance_orig,-0.0006955139950926617,0.0006955139950926617
deltaOrg,0.0005033719762567848,0.0005033719762567848
oldbalanceOrg,-0.0001828558272532172,0.0001828558272532172
newbalanceOrig,0.00017796214744467882,0.00017796214744467882
amount,0.00014255444500546046,0.00014255444500546046
oldbalanceDest,-4.8049093583894655e-05,4.8049093583894655e-05
newbalanceDest,4.7837745928128174e-05,4.7837745928128174e-05
deltaDest,-4.6687387789594776e-05,4.6687387789594776e-05
error_balance_dest,-1.353922524839442e-06,1.353922524839442e-06
isFlaggedFraud,0.0,0.0
is_weekend,0.0,0.0
