feature,importance
error_balance_orig,0.20696355805616537
deltaOrg,0.18800006698012509
amount_to_oldbalance_ratio,0.15622929008857458
account_emptied,0.15615327195551643
newbalanceOrig,0.06661022818663705
type_PAYMENT,0.044020159300527405
oldbalanceOrg,0.029279547661221837
amount,0.026400380259586468
type_TRANSFER,0.021873262015156037
oldbalanceDest,0.017245564693945174
hour_of_day,0.016178013567563942
error_balance_dest,0.012628461248269905
newbalanceDest,0.012272768760559306
deltaDest,0.01197295283981898
type_CASH_IN,0.010698936149470564
has_balance_error,0.007214990269400644
dest_was_empty,0.005770927203766303
type_CASH_OUT,0.005216303232860624
step,0.004572152489621759
day_of_month,0.0005608321709267797
type_DEBIT,0.00013833287028572726
isFlaggedFraud,0.0
is_weekend,0.0
